full_name,tag_slug
Iswandi,machine-learning
Iswandi,cybersecurity
Iswandi,iot
Iswandi,artificial-intelligence
Iswandi,data-mining
Iswandi,computer-vision
Prapto Nugroho,iot
Prapto Nugroho,artificial-intelligence
Prapto Nugroho,machine-learning
Prapto Nugroho,automation
Prapto Nugroho,computer-networks
Prapto Nugroho,deep-learning
I Wayan Mustika,computer-networks
I Wayan Mustika,iot
I Wayan Mustika,deep-learning
I Wayan Mustika,artificial-intelligence
I Wayan Mustika,machine-learning
I Wayan Mustika,smart-city
Yusuf Susilo Wijoyo,artificial-intelligence
Yusuf Susilo Wijoyo,machine-learning
Yusuf Susilo Wijoyo,automation
Yusuf Susilo Wijoyo,smart-city
Yusuf Susilo Wijoyo,human-computer-interaction
Yusuf Susilo Wijoyo,cybersecurity
Sunu Wibirama,machine-learning
Sunu Wibirama,deep-learning
Sunu Wibirama,ux
Sunu Wibirama,computer-vision
Sunu Wibirama,human-computer-interaction
Sunu Wibirama,e-learning
Fikri Waskito,artificial-intelligence
Lesnanto Multa Putranto,deep-learning
Lesnanto Multa Putranto,artificial-intelligence
Lesnanto Multa Putranto,machine-learning
Lesnanto Multa Putranto,iot
Lesnanto Multa Putranto,automation
Lesnanto Multa Putranto,data-mining
Igi Ardiyanto,deep-learning
Igi Ardiyanto,machine-learning
Igi Ardiyanto,computer-vision
Igi Ardiyanto,database
Igi Ardiyanto,artificial-intelligence
Igi Ardiyanto,data-mining
Husni Rois Ali,machine-learning
Husni Rois Ali,artificial-intelligence
Husni Rois Ali,deep-learning
Husni Rois Ali,data-mining
Agus Bejo,machine-learning
Agus Bejo,deep-learning
Agus Bejo,cybersecurity
