row_ref,full_name,academic_title,sinta_id,scopus_author_id,orcid_id,google_scholar_id,google_scholar_url,openalex_author_id,openalex_resolution_method,google_scholar_resolution_method,semantic_scholar_id,semantic_scholar_resolution_method
dosen_source.csv:56,Dzuhri Radityo Utomo,"S.T., M.Sc., Ph.D",6724609,56122839600,,YBOzSm0AAAAJ,https://scholar.google.co.id/citations?hl=en&user=YBOzSm0AAAAJ,https://openalex.org/A5047099103,name_search,error,9176580,name_search
dosen_source.csv:57,Syukron Abu Ishaq Alfarozi,"S.T., Ph.D",6776484,57191739119,0000-0001-8558-898X,IUzKpC4AAAAJ,https://scholar.google.co.id/citations?hl=en&user=IUzKpC4AAAAJ,https://openalex.org/A5055082531,orcid,error,,error
dosen_source.csv:58,Ahmad Ataka Awwalur Rizqi,"S.T., Ph.D",6776475,56081578500,,rMabMHgAAAAJ&hl,https://scholar.google.co.id/citations?user=rMabMHgAAAAJ&hl=en&oi=ao,https://openalex.org/A5043069972,name_search,error,2056769820,name_search
dosen_source.csv:59,Naufal Hilmi Fauzan,"S.Si., M.T",6808877,57413345300,,9s8ToW8AAAAJ,https://scholar.google.co.id/citations?hl=en&user=9s8ToW8AAAAJ,https://openalex.org/A5016120988,name_search,error,,error
dosen_source.csv:60,Yohan Fajar Sidik,"Dr.-Ing., Ir., S.T., M.Eng",6806480,57212457786,0000-0002-3826-2095,zRZB_Q0AAAAJ,https://scholar.google.co.id/citations?hl=en&user=zRZB_Q0AAAAJ,https://openalex.org/A5081314643,orcid,error,100969224,orcid
dosen_source.csv:61,Ridwan Wicaksono,"S.T., M.Eng., Ph.D",6849945,57190797006,0000-0002-7415-2061,LQZzruEAAAAJ,https://scholar.google.co.id/citations?hl=en&user=LQZzruEAAAAJ,https://openalex.org/A5001231803,orcid,error,,error
dosen_source.csv:62,Rian Fatah Mochamad,"Dr., S.T. M.Eng",6923517,55753983200,,WA-_ZSQAAAAJ,https://scholar.google.com/citations?user=WA-_ZSQAAAAJ&hl=en&oi=sra,https://openalex.org/A5081281783,name_search,error,9393404,name_search
dosen_source.csv:63,Wijaya Yudha Atmaja,"Dr., S.T., M. Eng",6923069,57211475086,0000-0002-4102-5955,wQ_OH1MAAAAJ,https://scholar.google.com/citations?user=wQ_OH1MAAAAJ&hl=id,https://openalex.org/A5034433932,orcid,error,1382117613,name_search
dosen_source.csv:64,M. Aidiel Rachman Putra,"S.Kom., M.Kom",6929389,57767496700,0000-0002-2741-6853,qSsGUkIAAAAJ,https://scholar.google.com/citations?user=qSsGUkIAAAAJ&hl=en,https://openalex.org/A5076285880,orcid,error,,error
dosen_source.csv:65,Nailil Husna,"S.Si., M.Sc",6993687,57195404720,,j4cTsk8AAAAJ&hl,https://scholar.google.com/citations?user=j4cTsk8AAAAJ&hl=en&oi=ao,https://openalex.org/A5024971654,name_search,error,73620311,name_search
