lecturer_row_ref,publication_id
dosen_source.csv:3,b5d1ef9f-bb02-477f-8a10-0b13f67327c5
dosen_source.csv:3,fdceadbe-42db-4a90-ab11-7214f1778f49
dosen_source.csv:3,9d7ae5bc-d095-42fd-97ba-c625685901cb
dosen_source.csv:3,57126a37-12d9-4df9-bedc-8bbf291d9efb
dosen_source.csv:3,96ea701b-09db-4495-aaa0-90ca01d8f7ad
dosen_source.csv:3,985d6b23-a7e4-47b5-8a46-2287ea74c2c8
dosen_source.csv:3,08cefbcb-f355-4fc1-a32b-813eb62be45f
dosen_source.csv:3,4d87c94d-2611-4320-bf17-f7a6a901e04e
dosen_source.csv:3,ddd440e5-7256-43f7-9735-d94c1631dafd
dosen_source.csv:3,360d4532-5c81-41de-876b-0f1e49ca1fc7
dosen_source.csv:3,237e47de-a0f3-46e2-81f7-5657c5052288
dosen_source.csv:3,e37eb4c2-838c-4f7e-af91-7438acf357d4
dosen_source.csv:3,b397c973-219e-4214-a453-22741d0635b1
dosen_source.csv:3,a3c6df97-4c54-4046-a2a4-3084ac669248
dosen_source.csv:3,3048987d-7ba8-4c28-9fcf-30fb70242ad4
dosen_source.csv:3,130069d6-ad99-4790-92f1-3198803f2b73
dosen_source.csv:3,1d66dd8c-6908-4645-b270-20a7884007c2
dosen_source.csv:3,13f93c17-31c4-415c-a0d3-cd2a69b7895b
dosen_source.csv:3,7cbdd08b-8b57-4f25-b567-79f2d8c58d16
dosen_source.csv:3,61e55113-5fa9-4713-958f-1bf6395ef50e
dosen_source.csv:3,3c77246a-e8f3-4e61-bc74-5e6f0a8eaf90
dosen_source.csv:3,9b57475c-9f1d-48f7-a9ef-6c33411cd886
dosen_source.csv:3,c3772034-b37e-41fb-a783-7c4ed7f362c5
dosen_source.csv:3,97498220-fccd-418b-b462-5a8edd3b797b
dosen_source.csv:3,68f6df32-7770-441b-ad80-222ecc0db6bf
dosen_source.csv:3,7e4f2b33-755e-45a7-865f-72081ed24039
dosen_source.csv:3,39c812dc-35b8-4b4f-b88e-2625bfb0a267
dosen_source.csv:3,aae8de67-204e-4e91-b3df-657f4523bf90
dosen_source.csv:3,4a6108eb-7ae2-4fe0-a727-4cf6451c019c
dosen_source.csv:3,53a1daeb-e36f-4d4a-a401-2d3263d5e673
dosen_source.csv:3,92a02e8d-d3c5-4a36-8fb4-8c922890f6ff
dosen_source.csv:3,2d498dfd-d48e-4e79-bad5-f3cda3a0591e
dosen_source.csv:3,26f100b6-eb43-42f0-9868-2704310e8ea1
dosen_source.csv:3,0e10d1f6-9f79-4f8c-a8ab-747cc5dfd403
dosen_source.csv:3,66384c7a-7f0a-40af-9320-2f42040be977
dosen_source.csv:3,3c94c206-2c37-4377-b6c9-782d40c62df0
dosen_source.csv:3,4dc31647-1ae5-4f87-b1ec-673862ff4c5c
dosen_source.csv:3,677eb279-3dc4-473e-9c12-ff5aab4f34c9
dosen_source.csv:3,dd1e07e9-b052-4912-a994-4aa8b8fd9e89
dosen_source.csv:3,ae1fe909-820e-4545-96f9-a2e1978833c4
dosen_source.csv:3,b0cf5e28-60f6-4c0e-8425-c1cae06e8c9c
dosen_source.csv:3,bcd53ae9-9e63-4373-9a1e-c4f1329ca190
dosen_source.csv:3,53d13541-a7d8-4250-83c4-85514e675bdd
dosen_source.csv:3,3f20c617-fa73-4dbc-8ec9-82118d6913d1
dosen_source.csv:3,f52b3769-9271-4722-8360-cc90ab9bfdb4
dosen_source.csv:3,68dbd4d1-873f-42d4-b2e0-ec7741dea5e6
dosen_source.csv:3,5b75c6e9-0f28-4f40-b7bc-dfd54a376a8e
dosen_source.csv:3,d65ff7f8-ac01-4841-8ab6-aa55103db18f
dosen_source.csv:3,8d6502a6-c5f0-41b6-9d4e-067a42deb5b0
dosen_source.csv:3,a2327fd3-efc2-4fc8-827a-1ead0c4be252
dosen_source.csv:3,db568ee5-cf25-40ee-a586-9eb86a0b0ef4
dosen_source.csv:3,ee60555f-ee69-48a4-97bc-c26ffdb5a3be
dosen_source.csv:3,66a32c10-813a-40ed-ae99-512717b46cf0
dosen_source.csv:3,0fb8e89f-cddc-43af-933d-920b8957fdcf
dosen_source.csv:3,bb782f52-f2f1-4b37-ab5a-0f074a27ae33
dosen_source.csv:3,5e249f69-e455-4ce9-8f91-aa38c43dbae4
dosen_source.csv:3,f9e04509-c8ed-4dc5-a639-2976286a159a
dosen_source.csv:3,18c380c0-0286-4ff9-8f12-1f9818b748fc
dosen_source.csv:3,c1dd699f-e61a-4e36-8481-f487145e32c0
dosen_source.csv:3,c7f1aac9-1903-4f82-ab0d-808cdab97f79
dosen_source.csv:3,eb49b840-8274-45b2-b0b9-22d9e4db0824
